CARD_ID(카드번호),USER_TYPE(사용자구분코드),COMPANY_ID(발행사ID),GETON_DATETIME(승차일시),GETON_STATION_ID(승차역ID),GETOFF_DATETIME(하차일시),GETOFF_STATION_ID(하차역ID),DISTANCE(이용거리)
D**************F,21,C900001,201803310000,2538,201803312359,0410,999999
D**************0,11,C900008,201803310000,2554,201803312359,0420,999999
D**************F,23,C900008,201803310000,4130,201803312359,4127,999999
D**************C,23,C900001,201803310000,2750,201803312359,2748,999999
D**************3,23,C900008,201803310000,2545,201803312359,0153,999999
D**************3,21,C900008,201803310000,2540,201803312359,2823,999999
D**************2,11,C900008,201803310000,2746,201803312359,0239,999999
D**************0,23,C900008,201803310000,2720,201803312359,0225,999999
D**************C,42,C900008,201803310000,221,201803312359,0424,999999
D**************5,11,C900008,201803310000,2712,201803312359,2715,999999
D**************7,21,C900001,201803310000,2742,201803312359,2544,999999
D**************D,41,C900008,201803310000,319,201803312359,0153,999999
D**************B,11,C900001,201803310000,2522,201803312359,2533,999999
D**************0,21,C900008,201803310000,2526,201803312359,2516,999999
D**************E,21,C900008,201803310000,2514,201803312359,2634,999999
D**************8,11,C900008,201803310000,2537,201803312359,0311,999999
D**************2,11,C900001,201803310000,208,201803312359,0424,999999
D**************E,11,C900008,201803310000,2816,201803312359,2826,999999
D**************B,21,C900008,201803310000,338,201803312359,2731,999999
D**************A,11,C900008,201803310000,2616,201803312359,0214,999999
D**************7,23,C900001,201803310000,2632,201803312359,0217,999999
D**************F,23,C900008,201803310000,2814,201803312359,0329,999999
D**************2,23,C900008,201803310000,2516,201803312359,2519,999999
D**************D,12,C900001,201803310000,4121,201803312359,2522,999999
D**************9,12,C900001,201803310000,2626,201803312359,0228,999999
D**************C,11,C900008,201803310000,2625,201803312359,2532,999999
D**************1,21,C900008,201803310000,4704,201803312359,0153,999999
D**************E,21,C900008,201803310000,4129,201803312359,0430,999999
D**************1,21,C900001,201803310000,4709,201803312359,4705,999999
D**************E,21,C900008,201803310000,2642,201803312359,2535,999999
D**************5,21,C900008,201803310000,2754,201803312359,4109,999999
D**************E,23,C900001,201803310000,2640,201803312359,2616,999999
D**************5,11,C900008,201803310000,2531,201803312359,4117,999999
D**************7,23,C900008,201803310000,2530,201803312359,2536,999999
D**************6,12,C900008,201803310000,2646,201803312359,2534,999999
